COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,COUNTY NAME,STATE,Health_District,Lab_Report_Date,Number_of_PCR_Testing_Encounters,Number_of_Positive_PCR_Testing_Encounters,Total_Number_of_Testing_Encounters,Total_Number_of_Positive_Testing_Encounters
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/10/2020,1,0,1,0
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/11/2020,5,0,5,0
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/12/2020,8,0,8,0
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/13/2020,6,0,6,0
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/14/2020,6,0,6,0
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/16/2020,27,0,27,0
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/17/2020,3,0,3,0
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/18/2020,27,1,27,1
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/19/2020,20,0,20,0
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/20/2020,17,0,17,0
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/21/2020,62,2,62,2
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/22/2020,20,1,20,1
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/23/2020,20,1,20,1
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/24/2020,28,0,28,0
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/25/2020,35,3,35,3
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/26/2020,32,1,32,1
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/27/2020,58,4,58,4
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/28/2020,41,3,41,3
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/29/2020,49,6,49,6
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/30/2020,58,4,58,4
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,3/31/2020,40,9,40,9
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,4/1/2020,67,3,67,3
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,4/2/2020,46,11,46,11
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,4/3/2020,80,7,80,7
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,4/4/2020,48,5,48,5
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,4/5/2020,95,5,95,5
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,4/6/2020,70,9,70,9
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,4/7/2020,57,4,57,4
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,4/8/2020,59,11,59,11
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,4/9/2020,60,3,60,3
